treatment_id,position,view_type,interaction,variable_amount,amount_earlier,time_earlier,date_earlier,amount_later,time_later,date_later,max_amount,max_time,horizontal_pixels,vertical_pixels,left_margin_width_in,bottom_margin_height_in,graph_width_in,graph_height_in,width_in,height_in,show_minor_ticks,comment
1,1,word,none,none,350,4,,430,13,,430,,,,,,,,,,,Worded MEL question experiment 1 date/delay paper.
1,2,word,none,none,490,2,,700,18,,700,,,,,,,,,,,Worded MEL question experiment 1 date/delay paper.
1,3,word,none,none,720,6,,1390,24,,1390,,,,,,,,,,,Worded MEL question experiment 1 date/delay paper.
1,4,word,none,none,840,3,,1120,16,,1120,,,,,,,,,,,Worded MEL question experiment 1 date/delay paper.
1,5,word,none,none,32,4,,39,13,,40,,,,,,,,,,,Worded MEL question experiment 3 of date/delay paper.
1,6,word,none,none,45,2,,70,18,,70,,,,,,,,,,,Worded MEL question experiment 3 of date/delay paper.
1,7,word,none,none,66,6,,110,24,,110,,,,,,,,,,,Worded MEL question experiment 3 of date/delay paper.
1,8,word,none,none,77,3,,118,16,,120,,600,300,,,,,,,,Worded MEL question experiment 3 of date/delay paper.
2,1,barchart,none,none,350,4,,430,13,,430,14,600,300,,,,,,,no,Barchart MEL question experiment 1 date/delay paper half the screen.
2,2,barchart,none,none,490,2,,700,18,,700,19,600,300,,,,,,,no,Barchart MEL question experiment 1 date/delay paper half the screen.
2,3,barchart,none,none,720,6,,1390,24,,1390,25,600,300,,,,,,,no,Barchart MEL question experiment 1 date/delay paper half the screen.
2,4,barchart,none,none,840,3,,1120,16,,1120,17,600,300,,,,,,,no,Barchart MEL question experiment 1 date/delay paper half the screen.
2,5,barchart,none,none,32,4,,39,13,,40,14,600,300,,,,,,,no,Barchart MEL question experiment 3 of date/delay paper half the screen.
2,6,barchart,none,none,45,2,,70,18,,70,19,600,300,,,,,,,no,Barchart MEL question experiment 3 of date/delay paper half the screen.
2,7,barchart,none,none,66,6,,110,24,,110,25,600,300,,,,,,,no,Barchart MEL question experiment 3 of date/delay paper.
2,8,barchart,none,none,77,3,,118,16,,120,17,600,300,,,,,,,no,Barchart MEL question experiment 3 of date/delay paper half the screen.
3,1,barchart,none,none,350,4,,430,13,,430,27,1200,300,,,,,,,no,Barchart MEL question experiment 1 date/delay paper full screen.
3,2,barchart,none,none,490,2,,700,18,,700,37,1200,300,,,,,,,no,Barchart MEL question experiment 1 date/delay paper full screen.
3,3,barchart,none,none,720,6,,1390,24,,1390,49,1200,300,,,,,,,no,Barchart MEL question experiment 1 date/delay paper full screen.
3,4,barchart,none,none,840,3,,1120,16,,1120,33,1200,300,,,,,,,no,Barchart MEL question experiment 1 date/delay paper full screen.
3,5,barchart,none,none,32,4,,39,13,,40,27,1200,300,,,,,,,no,Barchart MEL question experiment 3 of date/delay paper full screen.
3,6,barchart,none,none,45,2,,70,18,,70,37,1200,300,,,,,,,no,Barchart MEL question experiment 3 of date/delay paper full screen.
3,7,barchart,none,none,66,6,,110,24,,110,49,1200,300,,,,,,,no,Barchart MEL question experiment 3 of date/delay paper full screen.
3,8,barchart,none,none,77,3,,118,16,,120,33,1200,300,,,,,,,no,Barchart MEL question experiment 3 of date/delay paper full screen.
