id,exp_id,sequence_id,treatment_id,question_id
1,5,1,1,1
2,5,2,1,2
3,5,3,1,3
4,5,4,1,4
5,5,5,1,5
6,5,6,1,6
7,5,7,1,7
8,5,8,1,8
9,5,1,2,10
10,5,2,2,11
11,5,3,2,12
12,5,4,2,13
13,5,5,2,14
14,5,6,2,15
15,5,7,2,16
16,5,8,2,17
17,5,1,3,19
18,5,2,3,20
19,5,3,3,21
20,5,4,3,22
21,5,5,3,23
22,5,6,3,24
23,5,7,3,25
24,5,8,3,26
25,5,1,4,28
26,5,2,4,29
27,5,3,4,30
28,5,4,4,31
29,5,5,4,32
30,5,6,4,33
31,5,7,4,34
32,5,8,4,35
33,5,1,5,28
34,5,2,5,29
35,5,3,5,30
36,5,4,5,31
37,5,5,5,32
38,5,6,5,33
39,5,7,5,34
40,5,8,5,35
41,5,1,6,28
42,5,2,6,29
43,5,3,6,30
44,5,4,6,31
45,5,5,6,32
46,5,6,6,33
47,5,7,6,34
48,5,8,6,35
